ano,Outros,China,Reino Unido,Estados Unidos,Paraguai,R̼ssia
2007,1.7267990000000002,0.03039,0.144244,0.810038,0.801519,0.17316
2008,2.405635,0.025926,0.155076,0.804607,1.374088,2.352768
2009,1.605367,0.4824,0.068788,0.660066,0.392087,5.73228
2010,1.3694279999999999,0.002358,0.29569,0.47863,0.449197,0.0
2011,1.6880760000000001,0.334867,0.285642,1.030254,0.276281,0.0
2012,1.708027,0.642177,0.334856,0.303986,0.428279,2.103968
2013,5.896806,0.279956,0.305005,0.786556,0.680828,14.795694
2014,4.1800239999999995,0.45534,1.373747,0.494216,0.908028,0.06144
2015,0.954168,0.222866,0.308407,0.524109,0.74137,0.01824
2016,1.0555729999999999,0.499622,0.536681,0.687411,1.655417,0.0
2017,0.828289,0.266086,0.242883,1.523699,4.27465,0.0
2018,1.05606,0.126336,0.296827,0.512519,5.494321,0.0
2019,0.950545,0.376828,0.164592,0.616274,3.826587,0.0
2020,1.1439799999999998,0.363,0.082722,0.610793,3.869243,0.00855
2021,1.75659,0.264116,0.122394,0.203554,7.192362,0.312926
